email,first_name,middle_name,last_name,contact_no,password,loginId,roleName
wardInspector11@nviera.com,wardInspector1,wardInspector11,wardInspector1,234561,wardInspector1@1231,wardInspector11,wardInspector1
wardInspector12@nviera.com,wardInspector1,wardInspector12,wardInspector1,234562,wardInspector1@1232,wardInspector12,wardInspector1
wardInspector13@nviera.com,wardInspector1,wardInspector13,wardInspector1,234563,wardInspector1@1233,wardInspector13,wardInspector1
wardInspector14@nviera.com,wardInspector1,wardInspector14,wardInspector1,234564,wardInspector1@1234,wardInspector14,wardInspector1
wardInspector15@nviera.com,wardInspector1,wardInspector15,wardInspector1,234565,wardInspector1@1235,wardInspector15,wardInspector1
wardInspector16@nviera.com,wardInspector1,wardInspector16,wardInspector1,234566,wardInspector1@1236,wardInspector16,wardInspector1
wardInspector17@nviera.com,wardInspector1,wardInspector17,wardInspector1,234567,wardInspector1@1237,wardInspector17,wardInspector1
wardInspector18@nviera.com,wardInspector1,wardInspector18,wardInspector1,234568,wardInspector1@1238,wardInspector18,wardInspector1
wardInspector19@nviera.com,wardInspector1,wardInspector19,wardInspector1,234569,wardInspector1@1239,wardInspector19,wardInspector1
wardInspector110@nviera.com,wardInspector1,wardInspector110,wardInspector1,2345610,wardInspector1@12310,wardInspector110,wardInspector1
wardInspector111@nviera.com,wardInspector1,wardInspector111,wardInspector1,2345611,wardInspector1@12311,wardInspector111,wardInspector1
wardInspector112@nviera.com,wardInspector1,wardInspector112,wardInspector1,2345612,wardInspector1@12312,wardInspector112,wardInspector1
wardInspector113@nviera.com,wardInspector1,wardInspector113,wardInspector1,2345613,wardInspector1@12313,wardInspector113,wardInspector1
wardInspector114@nviera.com,wardInspector1,wardInspector114,wardInspector1,2345614,wardInspector1@12314,wardInspector114,wardInspector1
wardInspector115@nviera.com,wardInspector1,wardInspector115,wardInspector1,2345615,wardInspector1@12315,wardInspector115,wardInspector1
wardInspector116@nviera.com,wardInspector1,wardInspector116,wardInspector1,2345616,wardInspector1@12316,wardInspector116,wardInspector1
wardInspector117@nviera.com,wardInspector1,wardInspector117,wardInspector1,2345617,wardInspector1@12317,wardInspector117,wardInspector1
wardInspector118@nviera.com,wardInspector1,wardInspector118,wardInspector1,2345618,wardInspector1@12318,wardInspector118,wardInspector1
wardInspector119@nviera.com,wardInspector1,wardInspector119,wardInspector1,2345619,wardInspector1@12319,wardInspector119,wardInspector1
wardInspector120@nviera.com,wardInspector1,wardInspector120,wardInspector1,2345620,wardInspector1@12320,wardInspector120,wardInspector1
wardInspector121@nviera.com,wardInspector1,wardInspector121,wardInspector1,2345621,wardInspector1@12321,wardInspector121,wardInspector1
wardInspector122@nviera.com,wardInspector1,wardInspector122,wardInspector1,2345622,wardInspector1@12322,wardInspector122,wardInspector1
wardInspector123@nviera.com,wardInspector1,wardInspector123,wardInspector1,2345623,wardInspector1@12323,wardInspector123,wardInspector1
wardInspector124@nviera.com,wardInspector1,wardInspector124,wardInspector1,2345624,wardInspector1@12324,wardInspector124,wardInspector1
wardInspector125@nviera.com,wardInspector1,wardInspector125,wardInspector1,2345625,wardInspector1@12325,wardInspector125,wardInspector1
wardInspector126@nviera.com,wardInspector1,wardInspector126,wardInspector1,2345626,wardInspector1@12326,wardInspector126,wardInspector1
wardInspector127@nviera.com,wardInspector1,wardInspector127,wardInspector1,2345627,wardInspector1@12327,wardInspector127,wardInspector1
wardInspector128@nviera.com,wardInspector1,wardInspector128,wardInspector1,2345628,wardInspector1@12328,wardInspector128,wardInspector1
wardInspector129@nviera.com,wardInspector1,wardInspector129,wardInspector1,2345629,wardInspector1@12329,wardInspector129,wardInspector1
wardInspector130@nviera.com,wardInspector1,wardInspector130,wardInspector1,2345630,wardInspector1@12330,wardInspector130,wardInspector1
wardInspector131@nviera.com,wardInspector1,wardInspector131,wardInspector1,2345631,wardInspector1@12331,wardInspector131,wardInspector1
wardInspector132@nviera.com,wardInspector1,wardInspector132,wardInspector1,2345632,wardInspector1@12332,wardInspector132,wardInspector1
wardInspector133@nviera.com,wardInspector1,wardInspector133,wardInspector1,2345633,wardInspector1@12333,wardInspector133,wardInspector1
wardInspector134@nviera.com,wardInspector1,wardInspector134,wardInspector1,2345634,wardInspector1@12334,wardInspector134,wardInspector1
wardInspector135@nviera.com,wardInspector1,wardInspector135,wardInspector1,2345635,wardInspector1@12335,wardInspector135,wardInspector1
